txn_id,user_id,method,bank,request_time,credit_time,amount,status,retry_attempts
TXN00000,2238,NEFT,Kotak,2025-04-24 02:21:00,2025-04-24 02:51:00,13786.23,SUCCESS,0
TXN00001,4485,NEFT,Axis,2025-04-12 21:43:00,2025-04-12 22:13:00,3039.17,SUCCESS,0
TXN00002,3558,NEFT,Axis,2025-04-15 14:50:00,2025-04-15 15:20:00,54604.49,PENDING,1
TXN00003,4202,UPI,IDFC,2025-05-09 17:03:00,2025-05-09 17:18:00,2804.42,SUCCESS,0
TXN00004,3041,IMPS,Kotak,2025-04-28 14:59:00,2025-04-28 15:04:00,3937.89,SUCCESS,0
TXN00005,1034,UPI,Axis,2025-04-04 01:05:00,2025-04-04 01:06:00,3017.72,SUCCESS,0
TXN00006,2500,UPI,ICICI,2025-04-10 03:13:00,2025-04-10 03:18:00,8960.85,SUCCESS,0
TXN00007,4533,NEFT,HDFC,2025-04-21 15:44:00,2025-04-21 16:14:00,48729.21,SUCCESS,0
TXN00008,4993,UPI,Axis,2025-05-11 14:44:00,2025-05-11 14:45:00,11736.11,PENDING,1
TXN00009,3027,NEFT,IDFC,2025-04-17 07:34:00,2025-04-17 10:34:00,25348.45,SUCCESS,0
TXN00010,4561,IMPS,HDFC,2025-04-09 07:11:00,2025-04-09 07:16:00,36969.45,SUCCESS,0
TXN00011,3454,IMPS,Kotak,2025-05-10 21:26:00,2025-05-10 21:41:00,19618.14,SUCCESS,0
TXN00012,2485,UPI,Kotak,2025-04-14 06:26:00,2025-04-14 06:31:00,12358.31,SUCCESS,0
TXN00013,4625,IMPS,SBI,2025-05-09 16:51:00,2025-05-09 17:06:00,479.01,SUCCESS,0
TXN00014,3532,NEFT,Kotak,2025-04-29 03:12:00,2025-04-29 03:42:00,11642.75,SUCCESS,0
TXN00015,4157,UPI,ICICI,2025-05-27 20:05:00,2025-05-27 20:06:00,24763.31,SUCCESS,0
TXN00016,2363,UPI,SBI,2025-05-25 06:32:00,2025-05-25 06:33:00,5881.09,SUCCESS,0
TXN00017,3680,UPI,HDFC,2025-04-06 07:26:00,2025-04-06 07:27:00,5452.93,SUCCESS,0
TXN00018,4890,NEFT,IDFC,2025-05-02 23:40:00,2025-05-03 00:10:00,2764.09,SUCCESS,0
TXN00019,3489,UPI,PNB,2025-04-03 16:36:00,2025-04-03 16:37:00,17875.93,SUCCESS,0
TXN00020,3160,UPI,Axis,2025-05-07 00:00:00,2025-05-07 00:01:00,792.77,SUCCESS,0
TXN00021,2707,IMPS,PNB,2025-04-04 22:10:00,2025-04-04 22:15:00,4157.17,SUCCESS,0
TXN00022,1293,IMPS,Axis,2025-04-22 10:47:00,2025-04-22 11:17:00,61496.21,SUCCESS,0
TXN00023,1186,NEFT,Kotak,2025-05-30 03:18:00,2025-05-30 06:18:00,29316.87,SUCCESS,0
TXN00024,4219,IMPS,Axis,2025-05-10 06:17:00,2025-05-10 06:47:00,42332.55,SUCCESS,0
TXN00025,3520,NEFT,IDFC,2025-05-05 06:59:00,2025-05-05 07:29:00,31475.01,PENDING,1
TXN00026,3049,UPI,PNB,2025-05-07 22:08:00,2025-05-07 22:09:00,34126.85,SUCCESS,0
TXN00027,3255,UPI,PNB,2025-04-24 19:10:00,2025-04-24 19:25:00,22703.43,SUCCESS,0
TXN00028,1103,IMPS,SBI,2025-04-25 02:24:00,2025-04-25 02:29:00,6984.98,SUCCESS,0
TXN00029,1337,IMPS,SBI,2025-05-11 03:32:00,2025-05-11 03:37:00,15831.62,SUCCESS,0
TXN00030,1815,UPI,IDFC,2025-05-03 15:11:00,2025-05-03 15:16:00,19144.92,SUCCESS,0
TXN00031,2045,NEFT,PNB,2025-05-21 21:07:00,2025-05-21 22:07:00,57872.16,SUCCESS,0
TXN00032,1797,IMPS,IDFC,2025-04-05 15:18:00,2025-04-05 15:33:00,10174.4,SUCCESS,0
TXN00033,4583,NEFT,Axis,2025-05-16 20:05:00,2025-05-16 20:35:00,9521.6,SUCCESS,0
TXN00034,3327,IMPS,PNB,2025-05-05 00:51:00,2025-05-05 00:56:00,51012.63,SUCCESS,0
TXN00035,3006,NEFT,SBI,2025-04-25 09:30:00,2025-04-25 12:30:00,2785.78,FAILED,2
TXN00036,4863,NEFT,IDFC,2025-04-02 09:01:00,2025-04-02 09:31:00,69158.55,SUCCESS,0
TXN00037,4464,UPI,IDFC,2025-05-25 02:49:00,2025-05-25 03:04:00,5213.43,FAILED,2
TXN00038,3950,IMPS,Kotak,2025-04-08 13:15:00,2025-04-08 13:20:00,3240.17,SUCCESS,0
TXN00039,2166,IMPS,ICICI,2025-04-22 18:24:00,2025-04-22 18:29:00,8656.46,PENDING,2
TXN00040,3361,UPI,HDFC,2025-04-06 14:53:00,2025-04-06 14:58:00,570.95,SUCCESS,0
TXN00041,3311,UPI,Axis,2025-05-09 03:05:00,2025-05-09 03:06:00,50394.43,SUCCESS,0
TXN00042,1046,IMPS,Axis,2025-05-20 09:29:00,2025-05-20 09:34:00,2136.34,SUCCESS,0
TXN00043,2810,IMPS,IDFC,2025-04-26 20:22:00,2025-04-26 20:37:00,4332.45,SUCCESS,0
TXN00044,2664,NEFT,HDFC,2025-05-02 21:47:00,2025-05-02 22:17:00,8760.42,FAILED,1
TXN00045,4343,IMPS,IDFC,2025-04-29 22:02:00,2025-04-29 22:07:00,8581.82,SUCCESS,0
TXN00046,1996,NEFT,Kotak,2025-04-05 14:48:00,2025-04-05 15:18:00,1850.71,FAILED,1
TXN00047,2227,NEFT,ICICI,2025-05-09 03:32:00,2025-05-09 04:02:00,10147.77,SUCCESS,0
TXN00048,2785,IMPS,Kotak,2025-05-22 09:57:00,2025-05-22 10:57:00,32663.15,SUCCESS,0
TXN00049,2015,IMPS,Axis,2025-04-16 22:01:00,2025-04-16 22:06:00,14350.88,SUCCESS,0
TXN00050,4546,UPI,Axis,2025-05-30 00:32:00,2025-05-30 00:47:00,7369.51,SUCCESS,0
TXN00051,2291,IMPS,HDFC,2025-05-13 11:28:00,2025-05-13 11:33:00,15811.1,SUCCESS,0
TXN00052,4969,NEFT,ICICI,2025-04-17 07:28:00,2025-04-17 10:28:00,17233.12,SUCCESS,0
TXN00053,1417,NEFT,IDFC,2025-05-23 17:44:00,2025-05-24 17:44:00,1886.25,SUCCESS,0
TXN00054,1728,UPI,HDFC,2025-05-07 08:23:00,2025-05-07 08:38:00,11910.16,PENDING,2
TXN00055,2008,UPI,IDFC,2025-05-07 11:48:00,2025-05-07 11:53:00,40052.07,SUCCESS,0
TXN00056,3914,NEFT,HDFC,2025-04-20 15:24:00,2025-04-20 15:54:00,11464.09,SUCCESS,0
TXN00057,3224,NEFT,Kotak,2025-04-12 08:06:00,2025-04-13 08:06:00,35368.61,SUCCESS,0
TXN00058,4635,IMPS,IDFC,2025-04-05 02:11:00,2025-04-05 02:16:00,1304.37,SUCCESS,0
TXN00059,4555,UPI,HDFC,2025-05-23 09:57:00,2025-05-23 09:58:00,1806.51,SUCCESS,0
TXN00060,2156,UPI,Kotak,2025-04-18 14:11:00,2025-04-18 14:16:00,6482.87,SUCCESS,0
TXN00061,3960,NEFT,IDFC,2025-05-10 09:08:00,2025-05-10 12:08:00,8329.28,SUCCESS,0
TXN00062,2540,IMPS,PNB,2025-05-18 12:00:00,2025-05-18 12:30:00,64731.88,SUCCESS,0
TXN00063,4398,UPI,Axis,2025-05-30 18:43:00,2025-05-30 18:48:00,6466.78,SUCCESS,0
TXN00064,2881,IMPS,PNB,2025-04-13 17:27:00,2025-04-13 17:42:00,10177.58,SUCCESS,0
TXN00065,1455,NEFT,HDFC,2025-04-03 12:27:00,2025-04-04 12:27:00,20451.07,SUCCESS,0
TXN00066,4440,NEFT,HDFC,2025-04-06 11:44:00,2025-04-07 11:44:00,3796.23,SUCCESS,0
TXN00067,2172,NEFT,Kotak,2025-05-07 03:34:00,2025-05-07 04:34:00,74352.43,SUCCESS,0
TXN00068,3094,IMPS,PNB,2025-04-01 20:53:00,2025-04-01 21:08:00,5232.6,FAILED,1
TXN00069,4018,NEFT,PNB,2025-04-28 20:07:00,2025-04-28 20:37:00,9122.63,SUCCESS,0
TXN00070,4719,IMPS,ICICI,2025-05-07 08:35:00,2025-05-07 09:35:00,4637.43,SUCCESS,0
TXN00071,4216,NEFT,Kotak,2025-04-28 15:28:00,2025-04-28 15:58:00,25213.61,SUCCESS,0
TXN00072,1389,UPI,Kotak,2025-04-02 09:55:00,2025-04-02 10:10:00,14256.06,SUCCESS,0
